"","election","province","district","candidate","media_mentions","current_vote","previous_vote","winner","liberal","conservative","ndp","bq","other","gender","year_served","place","p2p","government"
"379",2008,"QC","Saint-Laurent--Cartierville","St»phane  Dion",20682,61.7000007629395,59.8499984741211,1,1,0,0,0,0,"Male",12,64,1,0
"380",2008,"ON","London West","Sue  Barnes",131,35.4000015258789,37.7000007629395,0,1,0,0,0,0,"Female",15,78,1,0
"381",2008,"BC","Newton--North Delta","Sukh  Dhaliwal",320,36.4000015258789,34.25,1,1,0,0,0,0,"Male",2,220,0,0
"382",2008,"ON","Thornhill","Susan  Kadis",113,39.4000015258789,53.0999984741211,0,1,0,0,0,0,"Female",4,118,0,0
"383",2006,"ON","Thornhill","Susan Kadis ** Liberal/Lib»ral",20,53.0999984741211,54.5800018310547,1,1,0,0,0,0,"Female",2,31,1,1
"384",2006,"AL","Macleod","Ted Menzies ** Conservative/Conservateur",89,75.4499969482422,74.7600021362305,1,0,1,0,0,0,"Male",2,103,0,0
"385",2008,"QC","Jeanne-Le Ber","Thierry  St-Cyr",18,34.7000007629395,40.2200012207031,1,0,0,0,1,0,"Male",2,138,0,0
"386",2008,"MB","Churchill","Tina  Keeper",117,28.7999992370605,40.6800003051758,0,1,0,0,0,0,"Female",2,150,0,0
"387",2008,"NFLD","Labrador","Todd  Russell",165,70.3000030517578,50.5299987792969,1,1,0,0,0,0,"Male",3,15,1,0
"388",2006,"SK","Regina--Lumsden--Lake Centre","Tom Lukiwski ** Conservative/Conservateur",105,42.1500015258789,33.2099990844727,1,0,1,0,0,0,"Male",2,101,0,0
"389",2006,"ON","Scarborough Southwest/Scarborough-Sud-Ouest","Tom Wappel ** Liberal/Lib»ral",99,47.8300018310547,49.4599990844727,1,1,0,0,0,0,"Male",18,62,1,1
"390",2008,"ON","Sault Ste. Marie","Tony  Martin",207,40.4000015258789,38.8800010681152,1,0,0,1,0,0,"Male",4,227,0,0
"391",2006,"ON","Sault Ste. Marie","Tony Martin ** N.D.P./N.P.D.",137,38.8800010681152,38.2900009155273,1,0,0,1,0,0,"Male",2,116,0,0
"392",2008,"BC","Vancouver South","Ujjal  Dosanjh",1577,38.5,48.0499992370605,1,1,0,0,0,0,"Male",4,212,0,0
"393",2006,"MB","Provencher","Vic Toews ** Conservative/Conservateur",757,65.6800003051758,63.0200004577637,1,0,1,0,0,0,"Male",6,185,0,0
"394",2008,"QC","Papineau","Vivian  Barbot",108,38.5999984741211,40.75,0,0,0,0,1,0,"Female",2,197,0,0
"395",2008,"ON","Mississauga--Streetsville","Wajid  Khan",620,35.7999992370605,45.9500007629395,0,0,1,0,0,0,"Male",4,181,0,1
"396",2006,"ON","Mississauga--Streetsville","Wajid Khan ** Liberal/Lib»ral",20,45.9500007629395,50.560001373291,1,1,0,0,0,0,"Male",2,9,1,1
"397",2008,"PEI","Malpeque","Wayne  Easter",569,44.2000007629395,50.4799995422363,1,1,0,0,0,0,"Male",15,72,1,0
"398",2008,"ON","Hamilton East--Stoney Creek","Wayne  Marston",56,41.4000015258789,36.0299987792969,1,0,0,1,0,0,"Male",2,193,0,0
"399",2006,"ON","Don Valley East/Don Valley-Est","Yasmin Ratansi ** Liberal/Lib»ral",19,54,48,1,1,0,0,0,0,"Female",2,124,0,1
"400",2006,"QC","Saint-Hyacinthe--Bagot","Yvan Loubier ** Bloc Qu»b»cois/Bloc Qu»b»cois",54,56.0200004577637,62.4000015258789,1,0,0,0,1,0,"Male",13,177,0,0
"401",2008,"QC","Chambly--Borduas","Yves  Lessard",7,50,54.7000007629395,1,0,0,0,1,0,"Male",4,126,0,0
"402",2006,"QC","Chambly--Borduas","Yves Lessard ** Bloc Qu»b»cois/Bloc Qu»b»cois",6,54.7000007629395,60.8499984741211,1,0,0,0,1,0,"Male",2,98,0,0
"403",2008,"NB","Acadie--Bathurst","Yvon  Godin",259,57.4000015258789,49.9000015258789,1,0,0,1,0,0,"Male",11,46,1,0
"404",2008,"QC","Abitibi--Baie-James--Nunavik--Eeyou","Yvon  Levesque",6,39.5999984741211,46.5699996948242,1,0,0,0,1,0,"Male",4,203,0,0
"405",2006,"NB","Acadie--Bathurst","Yvon Godin ** N.D.P./N.P.D.",192,49.9000015258789,53.9300003051758,1,0,0,1,0,0,"Male",9,81,1,0
"406",2006,"QC","Abitibi--Baie-James--Nunavik--Eeyou","Yvon Levesque ** Bloc Qu»b»cois/Bloc Qu»b»cois",2,46.5699996948242,45.2299995422363,1,0,0,0,1,0,"Male",2,27,1,0
