"","election","province","district","candidate","media_mentions","current_vote","previous_vote","winner","liberal","conservative","ndp","bq","other","gender","year_served","place","p2p","government"
"92",2008,"QC","Bourassa","Denis  Coderre",1185,49.7999992370605,43.4099998474121,1,1,0,0,0,0,"Male",9,111,1,0
"93",2006,"QC","Brome--Missisquoi","Denis Paradis ** Liberal/Lib»ral",41,27.9699993133545,42.0800018310547,0,1,0,0,0,0,"Male",11,198,0,1
"94",2008,"BC","Victoria","Denise  Savoie",447,44.5999984741211,38.4599990844727,1,0,0,1,0,0,"Female",2,26,1,0
"95",2008,"NWT","Western Arctic","Dennis  Bevington",70,41.4000015258789,42.1599998474121,1,0,0,1,0,0,"Male",2,218,0,0
"96",2008,"ON","Scarborough--Rouge River","Derek  Lee",351,58.2000007629395,65.620002746582,1,1,0,0,0,0,"Male",20,254,0,0
"97",2006,"ON","Scarborough--Rouge River","Derek Lee ** Liberal/Lib»ral",170,65.620002746582,57.9199981689453,1,1,0,0,0,0,"Male",18,39,1,1
"98",2008,"QC","Terrebonne--Blainville","Diane  Bourgeois",8,52.2999992370605,59.1699981689453,1,0,0,0,1,0,"Female",8,60,1,0
"99",2008,"ON","Sudbury","Diane  Marleau",34,30.2000007629395,41.5699996948242,0,1,0,0,0,0,"Female",24,34,1,0
"100",2006,"AL","Calgary--Nose Hill","Diane Ablonczy ** Conservative/Conservateur",409,68.4899978637695,64.379997253418,1,0,1,0,0,0,"Female",13,33,1,0
"101",2006,"QC","Terrebonne--Blainville","Diane Bourgeois ** Bloc Qu»b»cois/Bloc Qu»b»cois",3,59.1699981689453,68.129997253418,1,0,0,0,1,0,"Female",6,42,1,0
"102",2006,"ON","Haldimand--Norfolk","Diane Finley ** Conservative/Conservateur",83,48.3300018310547,42.1500015258789,1,0,1,0,0,0,"Female",2,158,0,0
"103",2008,"BC","Cariboo--Prince George","Dick  Harris",753,55.4000015258789,44.939998626709,1,0,1,0,0,0,"Male",15,252,0,1
"104",2006,"BC","Cariboo--Prince George","Dick Harris ** Conservative/Conservateur",396,44.939998626709,46.7200012207031,1,0,1,0,0,0,"Male",13,18,1,0
"105",2008,"NB","Beaus»jour","Dominic  LeBlanc",391,46.5999984741211,47.5499992370605,1,1,0,0,0,0,"Male",8,229,0,0
"106",2008,"BC","North Vancouver","Don  Bell",405,37.2999992370605,42.3499984741211,0,1,0,0,0,0,"Male",4,90,1,0
"107",2006,"BC","North Vancouver","Don Bell ** Liberal/Lib»ral",325,42.3499984741211,40.0299987792969,1,1,0,0,0,0,"Male",2,121,0,1
"108",2008,"BC","Abbotsford","Ed  Fast",450,63.2999992370605,63.2700004577637,1,0,1,0,0,0,"Male",2,1,1,1
"109",2006,"SK","Souris--Moose Mountain","Ed Komarnicki ** Conservative/Conservateur",13,62.8199996948242,36.9000015258789,1,0,1,0,0,0,"Male",2,151,0,0
"110",2008,"NFLD","Avalon","Fabian  Manning",107,35.2000007629395,51.5499992370605,0,0,1,0,0,0,"Male",2,255,0,1
"111",2008,"QC","Compton--Stanstead","France  Bonsant",7,41.7000007629395,42.7700004577637,1,0,0,0,1,0,"Female",4,103,1,0
"112",2006,"QC","Compton--Stanstead","France Bonsant ** Bloc Qu»b»cois/Bloc Qu»b»cois",12,42.7700004577637,46.7000007629395,1,0,0,0,1,0,"Female",2,199,0,0
"113",2008,"QC","La Pointe-de-l'_le","Francine  Lalonde",51,56.0999984741211,60.4599990844727,1,0,0,0,1,0,"Female",15,248,0,0
"114",2006,"QC","La Pointe-de-l'_le","Francine Lalonde ** Bloc Qu»b»cois/Bloc Qu»b»cois",46,60.4599990844727,66.4700012207031,1,0,0,0,1,0,"Female",13,63,1,0
"115",2008,"QC","Lac-Saint-Louis","Francis  Scarpaleggia",65,46.4000015258789,48.1699981689453,1,1,0,0,0,0,"Male",4,53,1,0
"116",2006,"QC","Lac-Saint-Louis","Francis Scarpaleggia ** Liberal/Lib»ral",30,48.1699981689453,63.9099998474121,1,1,0,0,0,0,"Male",2,115,0,1
"117",2006,"QC","Gatineau","Francoise Boivin ** Liberal/Lib»ral",141,31.3099994659424,42.0900001525879,0,1,0,0,0,0,"Female",2,145,0,1
"118",2008,"SK","Yorkton--Melville","Garry  Breitkreuz",109,68,63.4700012207031,1,0,1,0,0,0,"Male",15,211,0,1
"119",2006,"SK","Yorkton--Melville","Garry Breitkreuz ** Conservative/Conservateur",150,63.4700012207031,62.939998626709,1,0,1,0,0,0,"Male",13,45,1,0
"120",2008,"ON","Halton","Garth  Turner",1027,36.2000007629395,44.1800003051758,0,1,0,0,0,0,"Male",7,215,0,0
"121",2008,"ON","Cambridge","Gary  Goodyear",118,48.7000007629395,43.8499984741211,1,0,1,0,0,0,"Male",4,205,0,1
"122",2006,"ON","Halton","Gary Carr ** Liberal/Lib»ral",43,41.439998626709,48.3499984741211,0,1,0,0,0,0,"Male",2,68,1,1
"123",2006,"ON","Cambridge","Gary Goodyear ** Conservative/Conservateur",55,43.8499984741211,37.0900001525879,1,0,1,0,0,0,"Male",2,170,0,0
"124",2008,"ON","Perth--Wellington","Gary Ralph  Schellenberger",11,48,46.1399993896484,1,0,1,0,0,0,"Male",5,85,1,1
"125",2006,"ON","Perth--Wellington","Gary Schellenberger ** Conservative/Conservateur",10,46.1399993896484,41.9700012207031,1,0,1,0,0,0,"Male",3,156,0,0
"126",2006,"BC","Saanich--Gulf Islands","Gary Vincent Lunn ** Conservative/Conservateur",298,37.1500015258789,34.5800018310547,1,0,1,0,0,0,"Male",9,164,0,0
"127",2008,"NS","Halifax West","Geoff  Regan",93,41.5,49.3600006103516,1,1,0,0,0,0,"Male",8,12,1,0
"128",2006,"NS","South Shore--St. Margaret's","Gerald Gordon Keddy ** Conservative/Conservateur",152,36.8499984741211,37.9000015258789,1,0,1,0,0,0,"Male",9,85,1,0
"129",2008,"QC","Manicouagan","Gerard  Asselin",8,49.2999992370605,51.0999984741211,1,0,0,0,1,0,"Male",15,228,0,0
"130",2006,"QC","Manicouagan","Gerard Asselin ** Bloc Qu»b»cois/Bloc Qu»b»cois",0,51.0999984741211,58.5099983215332,1,0,0,0,1,0,"Male",13,24,1,0
"131",2008,"NFLD","Humber--St. Barbe--Baie Verte","Gerry  Byrne",94,68.1999969482422,52.9000015258789,1,1,0,0,0,0,"Male",12,94,1,0
"132",2006,"SK","Battlefords--Lloydminster","Gerry Ritz ** Conservative/Conservateur",42,53.9599990844727,58.25,1,0,1,0,0,0,"Male",9,190,0,0
"133",2008,"QC","Laurier--Sainte-Marie","Gilles  Duceppe",4611,50.2999992370605,54.689998626709,1,0,0,0,1,0,"Male",15,141,0,0
"134",2006,"QC","Laurier--Sainte-Marie","Gilles Duceppe ** Bloc Qu»b»cois/Bloc Qu»b»cois",5076,54.689998626709,60.0699996948242,1,0,0,0,1,0,"Male",13,139,0,0
"135",2006,"QC","Riviere des Milles Iles","Gilles-A. Perron ** Bloc Qu»b»cois/Bloc Qu»b»cois",0,53.9000015258789,61.3899993896484,1,0,0,0,1,0,"Male",9,148,0,0
"136",2008,"ON","Leeds--Grenville","Gord  Brown",123,58.2999992370605,54.6500015258789,1,0,1,0,0,0,"Male",8,98,1,1
"137",2006,"ON","Leeds--Grenville","Gord Brown ** Conservative/Conservateur",54,54.6500015258789,50.4599990844727,1,0,1,0,0,0,"Male",6,209,0,0
"138",2006,"ON","Carleton--Mississippi Mills","Gordon O'Connor ** Conservative/Conservateur",393,56.189998626709,50.0400009155273,1,0,1,0,0,0,"Male",2,118,0,0
"139",2006,"NB","New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest","Greg Thompson ** Conservative/Conservateur",176,54.7999992370605,53.060001373291,1,0,1,0,0,0,"Male",14,106,0,0
"140",2008,"ON","Bramalea--Gore--Malton","Gurbax S.  Malhi",16,45,50.6800003051758,1,1,0,0,0,0,"Male",15,114,1,0
"141",2008,"QC","Berthier--Maskinong»","Guy  Andr»",42,45.7999992370605,48.5,1,0,0,0,1,0,"Male",4,75,1,0
"142",2006,"QC","Berthier--Maskinong»","Guy Andre ** Bloc Qu»b»cois/Bloc Qu»b»cois",39,48.5,59.9000015258789,1,0,0,0,1,0,"Male",2,183,0,0
"143",2006,"QC","Portneuf--Jacques-Cartier","Guy Cote ** Bloc Qu»b»cois/Bloc Qu»b»cois",21,25.8799991607666,42.9099998474121,0,0,0,0,1,0,"Male",2,61,1,0
"144",2006,"ON","Stormont--Dundas--South Glengarry","Guy Lauzon ** Conservative/Conservateur",32,54.7299995422363,44.8499984741211,1,0,1,0,0,0,"Male",2,213,0,0
"145",2008,"ON","Kitchener--Conestoga","Harold  Albrecht",24,49.2000007629395,41.2200012207031,1,0,1,0,0,0,"Male",2,213,0,1
"146",2008,"BC","Vancouver Centre","Hedy  Fry",794,34.4000015258789,43.7999992370605,1,1,0,0,0,0,"Female",15,179,0,0
"147",2006,"ON","Simcoe--Grey","Helena Guergis ** Conservative/Conservateur",102,49.7599983215332,40.6199989318848,1,0,1,0,0,0,"Female",2,160,0,0
"148",2008,"MB","Dauphin--Swan River--Marquette","Inky  Mark",104,61.5,59.0800018310547,1,0,1,0,0,0,"Male",11,23,1,1
"149",2006,"MB","Dauphin--Swan River--Marquette","Inky Mark ** Conservative/Conservateur",132,59.0800018310547,53.9500007629395,1,0,1,0,0,0,"Male",9,13,1,0
"150",2008,"ON","London--Fanshawe","Irene  Mathyssen",188,42.9000015258789,34.5099983215332,1,0,0,1,0,0,"Female",2,154,0,0
"151",2008,"QC","Mount Royal","Irwin  Cotler",970,55.7000007629395,65.5500030517578,1,1,0,0,0,0,"Male",9,173,0,0
"152",2008,"ON","Toronto--Danforth","Jack  Layton",10295,45,48.4199981689453,1,0,0,1,0,0,"Male",4,44,1,0
"153",2006,"ON","Toronto--Danforth","Jack Layton ** N.D.P./N.P.D.",10008,48.4199981689453,46.3400001525879,1,0,0,1,0,0,"Male",2,128,0,0
"154",2008,"MB","Selkirk--Interlake","James  Bezan",50,60.5999984741211,48.9900016784668,1,0,1,0,0,0,"Male",4,89,1,1
"155",2008,"BC","Nanaimo--Alberni","James  Lunney",709,46.7000007629395,41.3600006103516,1,0,1,0,0,0,"Male",8,127,0,1
"156",2008,"AL","Edmonton--Leduc","James  Rajotte",175,62.5999984741211,60.5299987792969,1,0,1,0,0,0,"Male",8,10,1,1
"157",2006,"MB","Selkirk--Interlake","James Bezan ** Conservative/Conservateur",30,48.9900016784668,47.25,1,0,1,0,0,0,"Male",2,109,0,0
"158",2006,"BC","Nanaimo--Alberni","James Lunney ** Conservative/Conservateur",371,41.3600006103516,39.0699996948242,1,0,1,0,0,0,"Male",6,74,1,0
"159",2006,"BC","Port Moody--Westwood--Port Coquitlam","James Moore ** Conservative/Conservateur",572,41.1199989318848,40.939998626709,1,0,1,0,0,0,"Male",6,147,0,0
"160",2006,"AL","Edmonton--Leduc","James Rajotte ** Conservative/Conservateur",201,60.5299987792969,55.0499992370605,1,0,1,0,0,0,"Male",6,211,0,0
"161",2006,"AL","Calgary Southeast/Calgary-Sud-Est","Jason Kenney ** Conservative/Conservateur",626,75.1800003051758,71,1,0,1,0,0,0,"Male",9,97,0,0
"162",2006,"BC","Prince George--Peace River","Jay Hill ** Conservative/Conservateur",1105,59.8899993896484,58.7099990844727,1,0,1,0,0,0,"Male",13,52,1,0
"163",2008,"BC","Nanaimo--Cowichan","Jean  Crowder",808,45.2000007629395,46.7700004577637,1,0,0,1,0,0,"Female",4,59,1,0
"164",2006,"BC","Nanaimo--Cowichan","Jean Crowder ** N.D.P./N.P.D.",568,46.7700004577637,43.7099990844727,1,0,0,1,0,0,"Female",2,152,0,0
"165",2006,"NB","Madawaska--Restigouche","Jean-Claude J. C. D'Amours ** Liberal/Lib»ral",48,38.0200004577637,44.6599998474121,1,1,0,0,0,0,"Male",2,57,1,1
"166",2008,"NB","Madawaska--Restigouche","Jean-Claude JC  D'Amours",86,47.2000007629395,38.0200004577637,1,1,0,0,0,0,"Male",4,250,0,0
"167",2008,"QC","Saint-Maurice--Champlain","Jean-Yves  Laforest",13,43.7999992370605,45.2999992370605,1,0,0,0,1,0,"Male",2,108,1,0
"168",2008,"QC","Haute-Gasp»sie--La Mitis--Matane--Matap»dia","Jean-Yves  Roy",29,37.5,46.0400009155273,1,0,0,0,1,0,"Male",8,207,0,0
"169",2006,"QC","Haute-Gasp»sie--La Mitis--Matane--Matap»dia","Jean-Yves Roy ** Bloc Qu»b»cois/Bloc Qu»b»cois",5,46.0400009155273,56.4500007629395,1,0,0,0,1,0,"Male",6,36,1,0
"170",2008,"ON","Essex","Jeff  Watson",399,40,40.4000015258789,1,0,1,0,0,0,"Male",4,33,1,1
"171",2006,"ON","Essex","Jeff Watson ** Conservative/Conservateur",156,40.4000015258789,36.5699996948242,1,0,1,0,0,0,"Male",2,22,1,0
"172",2006,"SK","Desneth»--Missinippi--Churchill River/Desneth»--Missinippi--RiviÀre Churchill","Jeremy Harrison ** Conservative/Conservateur",59,41.0900001525879,37.3899993896484,0,0,1,0,0,0,"Male",2,15,1,0
"173",2008,"ON","Scarborough--Agincourt","Jim  Karygiannis",253,56.5999984741211,62.5900001525879,1,1,0,0,0,0,"Male",20,168,0,0
